"Add Address","Adresse hinzufügen"
"Add Customer","Kunden hinzufügen"
"Add Criteria","Kriterium hinzufügen"
"Add Email","E-Mail hinzufügen"
"Add Paypal","Paypal hinzufügen"
"Customers Block","Kundensperre"
"Could not find criteria with id: %s","Konnte das Kriterium mit der Id: %s nicht finden"
"Criteria","Kriterium"
"Edit Criteria","Kriterium bearbeiten"
"Edit Criteria %d","Kriterium bearbeiten %d"
"Email Receiver","E-Mail Empfänger"
"Email Sender","E-Mail Absender"
"Email Template","E-Mail Vorlage"
"House Number (Address Line 2)","Hausnummer (Adresszeile 2)"
"Manage Criteria","Kriterien verwalten"
"Name","Name"
"New Criteria","Kriterium erstellen"
"Notification for blocked Order","Benachrichtigung für gesperrte Bestellung"
"Paypal Payer Id","Paypal Identifikation"
"Street (Address Line 1)","Strasse (Adresszeile 1)"
"Successfully created criteria.","Das Kriterium wurde erfolgreich angelegt."
"Successfully deleted criteria.","Das Kriterium wurde erfolgreich gelöscht."
"Successfully updated criteria.","Das Kriterium wurde erfolgreich aktualisiert."
